fact_checking_canonical,claim_canonical,is_matched
http://www.snopes.com/religious-replicates/,http://nationalreport.net/pope-francis-followers-koran-holy-bible/,t
http://www.snopes.com/rupaul-claims-trump-touched-him/,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,t
http://www.snopes.com/sarah-palin-nativia/,http://dailycurrant.com/2015/09/07/sarah-palin-native-americans-should-go-back-to-nativia-3/,t
http://www.snopes.com/seth-conrad-rich/,http://www.activistpost.com/2016/07/suspicious-dnc-staffer-in-charge-of-voter-expansion-data-murdered-in-d-c.html,t
http://www.snopes.com/snowden-pronounced-dead/,http://worldtruth.tv/snowden-prounounced-dead-by-his-girlfriend-in-russia/,t
http://www.snopes.com/stanford-study-proves-election-fraud-through-exit-poll-discrepancies/,http://www.govtslaves.info/stanford-study-shows-how-clinton-steals-elections/,t
http://www.snopes.com/swedish-girl-refugee-assault-meme/,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/,u
http://www.snopes.com/swedish-police-bracelets/,http://www.infowars.com/migrants-rape-molest-women-at-anti-racism-festival-in-sweden/,u
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://21stcenturywire.com/2016/09/23/exclusive-the-real-syria-civil-defence-expose-natos-white-helmets-as-terrorist-linked-imposters/,t
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://21stcenturywire.com/2016/11/21/uncloaked-white-helmets-rescue-crisis-actor-in-mannequin-challenge-fakery/,u
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://www.globalresearch.ca/the-real-syria-civil-defence-exposes-natos-white-helmets-as-terrorist-linked-imposters/5547528,t
http://www.snopes.com/syrian-war-victims-are-being-recycled-and-al-quds-hospital-was-never-bombed/,http://21stcenturywire.com/2016/10/18/crisis-extras-are-syrias-white-helmets-recycling-their-barrel-bomb-victims/,u
http://www.snopes.com/syrian-war-victims-are-being-recycled-and-al-quds-hospital-was-never-bombed/,http://www.globalresearch.ca/author/eva-bartlett,f
http://www.snopes.com/syrian-war-victims-are-being-recycled-and-al-quds-hospital-was-never-bombed/,http://21stcenturywire.com/2016/12/16/reports-at-least-10-nato-military-officers-captured-by-syrian-special-forces-this-morning-in-east-aleppo-bunker/,f
http://www.snopes.com/syrian-war-victims-are-being-recycled-and-al-quds-hospital-was-never-bombed/,http://www.dcclothesline.com/2016/12/17/wayne-madsen-snopes-com-is-a-cia-operation/,f
